task_name,task_version,task_versionDate,task_form,task_ageCohort,task_language,site_id,subject_id,session_num,session_date,session_start,initials,machine_id,response_device,block_name,trial_congruent,trial_arrows,trial_upDown,trial_corrResp,trial_fixation,resp_value,resp_corr,resp_rt,task_time
Flanker,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,11/22/2019,22:42,SA,Machine_ID,keyboard,firstPracticeBlock,0,llrll,down,right,2.026,right,1,1.730685550999464,10.271164744000998
Flanker,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,11/22/2019,22:42,SA,Machine_ID,keyboard,firstPracticeBlock,0,llrll,up,right,1.689,right,1,1.1427553090000728,15.514793891001318
Flanker,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,11/22/2019,22:42,SA,Machine_ID,none,firstPracticeBlock,1,lllll,down,left,1.807,none,0,0,23.738959583000906
Flanker,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,11/22/2019,22:42,SA,Machine_ID,keyboard,firstPracticeBlock,0,rrlrr,down,left,1.9449999999999998,left,1,0.35542004999995713,28.461349820001487
Flanker,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,11/22/2019,22:42,SA,Machine_ID,keyboard,firstPracticeBlock,1,rrrrr,down,right,1.456,right,1,0.7663074869998527,33.106872289999956
Flanker,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,11/22/2019,22:42,SA,Machine_ID,keyboard,firstPracticeBlock,0,rrlrr,up,left,1.681,right,0,2.25328697499985,39.465613109001424
Flanker,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,11/22/2019,22:42,SA,Machine_ID,keyboard,firstPracticeBlock,1,lllll,up,left,1.8399999999999999,left,1,0.7591440070010869,44.47762024000076
Flanker,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,11/22/2019,22:42,SA,Machine_ID,keyboard,firstPracticeBlock,1,rrrrr,up,right,2.968,right,1,0.957041026001054,50.81661346600049
Flanker,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,11/22/2019,22:42,SA,Machine_ID,keyboard,throwawayBlock,0,llrll,up,right,2.819,right,1,1.2349412289999746,59.5833332330003
Flanker,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,11/22/2019,22:42,SA,Machine_ID,keyboard,throwawayBlock,1,lllll,down,left,1.422,right,0,0.41854069599915245,61.625991405000605
Flanker,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,11/22/2019,22:42,SA,Machine_ID,keyboard,testingBlock,0,rrlrr,up,left,2.705,right,0,0.4898895140012609,65.2497848260009
Flanker,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,11/22/2019,22:42,SA,Machine_ID,keyboard,testingBlock,1,lllll,up,left,1.737,left,1,0.5781305760002287,67.76697874500132
Flanker,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,11/22/2019,22:42,SA,Machine_ID,keyboard,testingBlock,0,llrll,up,right,1.974,right,1,0.5802066689995409,70.52330469400113
Flanker,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,11/22/2019,22:42,SA,Machine_ID,keyboard,testingBlock,1,rrrrr,down,right,2.5140000000000002,right,1,0.5081627000009901,73.74744348500099
Flanker,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,11/22/2019,22:42,SA,Machine_ID,keyboard,testingBlock,0,rrlrr,down,left,1.873,left,1,0.914881677999394,76.73760490099994
Flanker,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,11/22/2019,22:42,SA,Machine_ID,keyboard,testingBlock,0,llrll,down,right,1.7,right,1,0.5998760200007383,79.23985756300135
Flanker,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,11/22/2019,22:42,SA,Machine_ID,keyboard,testingBlock,1,lllll,down,left,1.639,left,1,0.7368354769997822,81.8178032880005
Flanker,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,11/22/2019,22:42,SA,Machine_ID,keyboard,testingBlock,1,rrrrr,up,right,2.387,right,1,0.5620916739996464,84.96925372999976
Flanker,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,11/22/2019,22:42,SA,Machine_ID,keyboard,testingBlock,1,rrrrr,up,right,1.74,right,1,0.55011530400021,87.46166723500028
Flanker,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,11/22/2019,22:42,SA,Machine_ID,keyboard,testingBlock,0,llrll,up,right,2.5149999999999997,right,1,0.6181315440002075,90.79694743100117
Flanker,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,11/22/2019,22:42,SA,Machine_ID,keyboard,testingBlock,1,lllll,up,left,2.3129999999999997,left,1,0.5639114370006721,93.87693484600095
Flanker,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,11/22/2019,22:42,SA,Machine_ID,keyboard,testingBlock,0,llrll,down,right,2.959,right,1,0.9075038819999608,97.9459511310015
Flanker,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,11/22/2019,22:42,SA,Machine_ID,keyboard,testingBlock,0,rrlrr,up,left,2.3049999999999997,left,1,1.0585873299990638,101.51518052900065
Flanker,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,11/22/2019,22:42,SA,Machine_ID,keyboard,testingBlock,1,lllll,down,left,1.99,left,1,0.581601974999794,104.28899298000033
Flanker,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,11/22/2019,22:42,SA,Machine_ID,keyboard,testingBlock,1,rrrrr,down,right,2.5629999999999997,right,1,0.6305736799987356,107.68487553600062
Flanker,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,11/22/2019,22:42,SA,Machine_ID,keyboard,testingBlock,0,rrlrr,down,left,2.984,left,1,0.8522324230001832,111.72319818600045
Flanker,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,11/22/2019,22:42,SA,Machine_ID,keyboard,testingBlock,1,lllll,up,left,1.8090000000000002,left,1,0.8167297840002137,114.55108298100095
Flanker,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,11/22/2019,22:42,SA,Machine_ID,keyboard,testingBlock,0,llrll,down,right,2.976,right,1,0.9151226789987268,118.64433878000091
